stime,mode,size,color,date,pool,author,dbid,num,text
2133.10800,1,25,16777215,1712810905,0,f994cef0,1557929803766639104,10,无视风险继续浏览 doge
1063.43600,1,25,16777215,1712808896,0,6cda4bea,1557912957806444032,10,堂主上头了
1190.91500,1,25,16777215,1712810325,0,5ab3243c,1557924944472489216,10,001FR：科幻片
583.89500,5,25,16777215,1712813910,0,2251d418,1557955011458429952,10,小爱同学：我就是希望车主也是原装的
1207.32700,1,25,16777215,1712808451,0,10dc6daa,1557909225639165952,10,堂主开始上头
1580.14500,5,25,16707842,1712830955,0,fb9e70b9,1558098000549638912,10,沈腾：民用前驱车的....
2217.38200,5,25,16707842,1712817568,0,c4cd92c8,1557985699092048640,10,你们猜如果小米上这种皮会有多少人喷质量不好（笑）
2221.13400,1,25,16777215,1712811299,0,699f4c89,1557933108895266816,10,禧玛诺交响曲
1278.76900,1,25,16707842,1712810658,0,f9831182,1557927738105874432,10,《钛合金嘴》
1290.20900,5,25,16646914,1712809972,0,d1fea8dd,1557921977312947200,10,浩瀚架构同款
1653.01900,1,25,16777215,1712812689,0,9c002802,1557944776803205632,10,所以电车上赛道，每次飞行全结束都要记得查看刹车
624.76900,1,25,16777215,1712808397,0,746742d4,1557908765045672960,10,马斯克代码开源使用最广泛的场景
1308.49700,1,25,16777215,1712808124,0,74100a5f,1557906476364936960,10,教主:好险没那么拼
769.47500,1,25,16777215,1712832067,0,46b54e26,1558107329034114048,10,钉子：尽力了
1028.24100,1,25,16777215,1712819990,0,d0f4bb5d,1558006014153010432,10,《收工回家》
329.27800,1,25,16777215,1712809201,0,148cc5a9,1557915509746763008,10,很值！
1732.40200,1,25,16777215,1712824956,0,46b71715,1558047678808633088,10,0.1维斯塔潘
901.35100,5,25,15138834,1712810084,0,d960e7e9,1557922921585050368,10,刹车片:别扣了
121.53500,5,25,16646914,1712807709,0,b298b807,1557902994279077632,10,我现在脸上的笑容比巴雷特还难压/doge
351.71900,1,25,16777215,1712807678,0,9ce5f6b7,1557902737554158848,10,上次有这种大家围观的车还是普桑（
100.21300,5,25,16777215,1712808004,0,4b224678,1557905469077792000,10,车主不是您吗？(doge)
1872.01100,1,25,16777215,1712809282,0,2bcd3a6c,1557916189861152768,10,玩iracing也是看见绿条就上头
1823.52900,1,25,16777215,1712835991,0,35fb7489,1558140240554820608,10,车窗自动下降好评
1574.22100,1,25,16777215,1712812527,0,e4c0a61,1557943414417531904,10,民用前驱车的起步……
1761.76100,1,25,16777215,1712831046,0,39927a6f,1558098765531863040,10,《脖子专门练过》
230.70800,5,25,16707842,1712810509,0,1420fbf4,1557926488379376896,10,《当流浪地球遇上上海堡垒》
232.93500,1,25,16777215,1712807376,0,9a79e7e3,1557900201443103744,10,《各大赛道》
515.62100,1,25,16777215,1712810222,0,59c61edf,1557924079992869376,10,最高速度172km/h，这电耗其实不错了
475.05300,1,25,16777215,1712817892,0,61ef50a6,1557988418040943104,10,感觉堂主全程犯迷糊
2386.61900,1,25,16777215,1712811466,0,7078bd41,1557934513936776960,10,那就是真的上墙了（手动狗头）
0.93900,1,25,16777215,1712807182,0,972373d0,1557898573138634240,10,我花了30万，撞了一台小米SU7！（全球首撞）
1641.91000,1,25,16777215,1712811612,0,ac0dc33e,1557935734764443904,10,这就是个人失误了
1716.95800,1,25,16777215,1712809104,0,9ebc0dd7,1557914700506064384,10,身材适合开赛车2333
695.86200,5,25,16777215,1712846102,0,10f62bf,1558225061779888128,10,伊兰特n：跑得快，不一定赢，不上墙，才是成功
450.34500,1,25,16777215,1712823464,0,ad5b22f7,1558035159910090240,10,理想：全网首插SU7
2243.90300,4,25,16707842,1712813082,0,6a1cd67d,1557948069642137088,10,堂主想提车（doge）
1538.36500,1,25,16777215,1712917478,0,97e37ee8,1558823802551563008,10,那可不，拿着键盘我都能开航母(
993.53500,5,25,16646914,1712817073,0,d4311c72,1557981550941859328,10,《刹车制动过热，刹车性能受限》
1764.47700,1,25,16777215,1712814659,0,a12e46e9,1557961296237228288,10,此处应有妙界广告
1760.91700,1,25,16777215,1712810426,0,29c3aa6e,1557925789599876608,10,看来以后得带hans
934.84600,1,25,16777215,1712807759,0,f7ff2db7,1557903415403713536,10,《amg慢车》
40.26500,5,25,16777215,1712860362,0,fa250c5c,1558344683036650240,10,«飞驰人生3»
1825.90500,1,25,16777215,1712823599,0,a9f21964,1558036296499393024,10,真就注意到了，车窗全降下去了，我给你逃离的空间。
994.75500,1,25,16777215,1712811689,0,6be4a2ca,1557936386651684096,10,屏幕提示过热! 建议改成强提示 对于这种过于兴奋的车主 只是弹窗提示没用
844.72200,1,25,16777215,1712809294,0,60dfa633,1557916297151776256,10,记住这个笑容
1217.23100,1,25,16777215,1712811284,0,71a78d8,1557932986799143936,10,上头了
2077.47100,1,25,16777215,1712843882,0,5c307bda,1558206437258614272,10,低温刹车皮
1126.71200,1,25,16777215,1712814672,0,73ff3df8,1557961407461645312,10,四活塞用面积这么小的皮，小米和山东布雷博真的牛逼
2318.86700,1,25,16777215,1712811539,0,80f4b3d6,1557935128050112512,10,这肯定的啊 极限驾驶哪有一直不失误的
1671.63300,1,25,16777215,1712829051,0,373d11e6,1558082029202426624,10,我不太懂，这么费刹车片吗？平时会不会也很快就没了
2063.87000,1,25,16777215,1712823973,0,b155d2ab,1558039431238227968,10,这是200-100的40脚，能量是100-0的三倍
566.86000,1,25,16777215,1712812276,0,bbb7943b,1557941304900806400,10,看了加速度的视频，貌似加了假的刹车油…
2269.14300,1,25,16777215,1712811227,0,80fb34ff,1557932512188467968,10,雷军特聘堂主
1824.78800,1,25,16777215,1712827143,0,e6389b6a,1558066024468132608,10,车窗下降好评
1943.20800,1,25,16777215,1712823571,0,56948c65,1558036061400462592,10,开门脚刹啊
1934.47600,1,25,16777215,1712834497,0,6b3f1610,1558127708427576320,10,前面一圈屏幕提示了
154.42900,1,25,16777215,1712808713,0,cc6956b7,1557911423345314048,10,我也是，全程嘴脸压不住233333
2142.90900,1,25,16777215,1712823176,0,76bafcee,1558032740778128640,10,无视风险，继续安装
107.42200,5,25,16777215,1712809529,0,8207b203,1557918263189810176,10,交车仪式:天马上墙
676.12200,1,25,16777215,1712845405,0,3b8e72db,1558219211489590016,10,前面弹幕，不是小米代表，是产业链，小米是产业链不仅成了还升级完了才出来享受果实。
280.80900,1,25,16777215,1712967675,0,3d7c9e83,1559244890859291392,10,迈巴赫司机
581.08400,1,25,16777215,1712834285,0,917f886e,1558125931225591296,10,气囊马上就不是原装的了
2142.27000,1,25,16777215,1712826536,0,147c2932,1558060926635116032,10,无视风险继续浏览。
869.40700,1,25,16777215,1712808112,0,10dc6daa,1557906380399438592,10,《flag》
864.69800,5,25,16777215,1712808097,0,787f6302,1557906249704654080,10,原来你知道啊
334.14200,5,25,41194,1712835136,0,90d4acfa,1558133075526187264,10,有啊，大众桑塔纳。
2183.13500,1,25,16777215,1712814687,0,e729c4ab,1557961535807537408,10,这里口误，应该是更短
337.89400,5,25,16646914,1712807758,0,cf3e8857,1557903407116125952,10,《U9》
2129.58200,1,25,16777215,1712820021,0,24e2df88,1558006282018257664,10,玩赛道 买领克呀
1696.72100,1,25,16777215,1712812263,0,e5617130,1557941199338415104,10,2.2吨，轮胎刹车都磨得快
2196.59100,5,25,15138834,1712809015,0,7b14c9b8,1557913952191927808,10,补充一点赛用刹车是需要工作温度的，温度没上来你的制动效果反而更差
748.67400,5,25,16646914,1713068219,0,c6100c49,1560088317150842112,10,古有奔驰上树，今有小米上墙
1405.45900,1,25,16777215,1712826788,0,9cef9cbe,1558063040832762368,10,确实，教主就已经感觉到不对劲不敢推极限了
2278.64900,1,25,16777215,1712823113,0,754a47f,1558032219392522496,10,007那圈速只跑了一圈
1349.64100,1,25,16777215,1712812559,0,ff922cd7,1557943682634837248,10,这下小米公关部认识堂主了
376.97800,5,25,41194,1712811260,0,d36504ff,1557932783291434752,10,音 容 宛 在
358.53000,1,25,16777215,1712809399,0,817105ed,1557917171311833344,10,《什么情况都遇到过了》
7.23000,1,25,16777215,1712809204,0,fc4c3bb1,1557915534526589952,10,小气球来喽
362.13300,1,25,16777215,1712809024,0,3f8f25be,1557914027337040128,10,代价确实挺大的，加价4w到手（Doge）
1526.09800,1,25,16777215,1712897100,0,6f4d92b0,1558652864866618624,10,小米散热不太行不是很正常吗
1289.13400,1,25,16777215,1712885206,0,bc4a9098,1558553092726131712,10,《就是没刹车了…说明小米的安全性能还是不错的》
70.47700,5,25,16707842,1712838041,0,c1c52966,1558157438099053312,10,《论如何插队提到su7现车》
2143.64700,1,25,16777215,1712815369,0,4fc4fa8,1557967255050971392,10,《程序员看到warning》
460.26400,5,25,15138834,1712812994,0,ba181d44,1557947331956241152,10,车门：我尽力了
2252.25200,1,25,16777215,1712812230,0,bb571f7c,1557940918873937408,10,太想进步了
2146.69400,1,25,16777215,1712810335,0,bdc262d2,1557925023829038336,10,还是忘不了赛道级
2269.75800,1,25,16777215,1712833624,0,5ac0b77,1558120386993223936,10,《001》《007》
1828.33400,1,25,16777215,1712823054,0,68da6e9f,1558031721386078976,10,主驾车玻璃下降了
2079.79100,1,25,16777215,1712816607,0,a471b4fd,1557977638268848640,10,懂了四十次刹车就会刹车失灵
1494.62900,5,25,16646914,1712852575,0,9dc2cf2d,1558279357607319040,10,[屏幕提示]:制动系统过热,刹车性能受阻.
1858.91300,1,25,16777215,1712811367,0,5776727a,1557933684588738304,10,飞驰人生一一摸一样
2022.80600,1,25,16777215,1712810589,0,6222f127,1557927154266685696,10,刹车皮没了，什么车都刹不住，现在大家知道拿到车要改什么了
0.00000,5,25,16777215,1712810349,0,fc2ef4cb,1557925147267050240,10,注意看，有条跟堂主一模一样的刹车痕
2280.24600,1,25,16777215,1712810021,0,680d347e,1557922389931647232,10,简称上头
308.06600,1,25,16777215,1712844056,0,ab489b56,1558207896725294080,10,小米的营销确实真的牛逼
2117.39500,1,25,16777215,1712834349,0,9dc07723,1558126468951910144,10,《家用车》
1982.16500,5,25,15138834,1712811220,0,4fb66eb7,1557932453879131392,10,你这不是热衰减啊，是直接磨没了
1048.41500,5,25,16707842,1712810642,0,2205445b,1557927597537829376,10,堂主这不是：道理我都懂！
953.81100,1,25,16777215,1712810512,0,89a96cdb,1557926507111088896,10,《拿捏》《出大事》
2340.11900,1,25,16777215,1712810383,0,76ada41a,1557925429367909376,10,小周已经练习赛上墙了
1863.05900,1,25,16777215,1712809866,0,690bfc21,1557921089261558272,10,飞驰人生是吧
850.75500,1,25,16777215,1712809863,0,d19870eb,1557921065387456768,10,《一脚刹上去》
199.29300,5,25,15138834,1712809663,0,aa3ecbca,1557919392254239232,10,《两台小米SU7车主》
1905.66500,1,25,16777215,1712809350,0,ab54e052,1557916763507831040,10,能理解，确实也是
1741.17300,1,25,16777215,1712809002,0,1b85245c,1557913845438363392,10,叠氮化钠
548.75400,1,25,13369971,1712808732,0,271284bb,1557911581797747968,10,AIRBAG特写要考~！
174.56900,1,25,16777215,1712808516,0,f3deda1d,1557909769858250752,10,以后都是你的车了2333
258.74700,1,25,16776960,1712807707,0,95ee63b5,1557902980118939136,10,《智慧的眼神》
1311.15100,1,25,16707842,1712807432,0,8d7a9684,1557900672370920960,10,堂主该改签名了（）
1825.90500,1,25,16777215,1712823622,0,a9f21964,1558036483489980672,10,有电车，有电动的开门，机械的开门，还有车窗降下去给你开门，车里也配备了开窗器。
2329.30900,5,25,38979,1712820167,0,ad43d0bc,1558007502946470656,10,汉密尔顿：你说的对
2184.17900,1,25,16777215,1712815897,0,49eda8b8,1557971682265060864,10,而且噪音大，影响驾驶体验
2424.65200,1,25,16777215,1712815169,0,6164a1ef,1557965573504336896,10,韩寒《一个二手车贩子的赛车梦》 定了明年拍这个
687.53700,1,25,16777215,1712815143,0,4aa0dda3,1557965361188912640,10,伊兰特N:但是我不上墙啊
1900.55300,1,25,16777215,1712812211,0,318220b8,1557940760631285504,10,这个我懂，我跑QQ飞车
2138.40300,1,25,16777215,1712811672,0,b60aa387,1557936242073985280,10,无视风险继续浏览
1494.14100,5,25,16707842,1712811500,0,82fd618b,1557934799149212416,10,《制动系统过热，刹车性能受限》
168.71800,5,25,16777215,1712811385,0,a56c4376,1557933831447971328,10,首付款doge
137.14100,1,25,16777215,1712811228,0,d25f4624,1557932514201708288,10,伏笔
1360.28700,1,25,16777215,1712811020,0,d19870eb,1557930770470047232,10,F1待遇
1777.65100,5,25,15138834,1712810836,0,f9084364,1557929229507637504,10,《你也知道啊》
321.90800,5,25,16646914,1712810581,0,40cf2bd4,1557927090135981568,10,现在花了31万doge
2070.80900,1,25,16777215,1712810513,0,c0ca0eb9,1557926518645237504,10,电车体重劣势就体现在这了 更容易热衰、更费刹车片、刹车盘、轮胎
1796.01200,1,25,16777215,1712810340,0,32fb8595,1557925068481372416,10,《好像》
1842.13000,1,25,16777215,1712810318,0,9fcffaa3,1557924882992344576,10,很久没看修车节目了
1194.45600,1,25,16777215,1712810239,0,5046ec98,1557924220762374912,10,胎都订了 刹车就不说换一下
1271.59400,5,25,16707842,1712810123,0,b75139be,1557923248925142016,10,懂了 刹车踏板吃了伟哥 但是皮不行
2028.70500,5,25,16777215,1712810041,0,126ecfd5,1557922562384943616,10,懂了，所以是堂主菜（doge
1706.05900,1,25,16777215,1712809996,0,90d0a53c,1557922178069112064,10,瞬时碰撞55，可不是小数字了，做碰撞的人都懂
1820.11900,1,25,16777215,1712809604,0,88ca53cc,1557918895833426944,10,现在才发现头盔和gopro把玻璃都撞裂了
1544.07200,1,25,16777215,1712809586,0,1af96d70,1557918743907282688,10,@影视飓风Tim(doge
1829.65100,1,25,16777215,1712809572,0,1eeebf33,1557918626298945024,10,小米：好了，跟我没啥关系了
1725.62600,5,25,16646914,1712809332,0,cf3e8857,1557916615884969984,10,维斯塔潘：我51g呢
815.90500,5,25,16707842,1712809220,0,d7a3b008,1557915669037898496,10,《弯道》《如鱼得水》
465.40900,1,25,16707842,1712809056,0,f9831182,1557914295101495808,10,《再次伏笔》
1503.09900,1,25,16777215,1712808996,0,383e495b,1557913792816696320,10,这就是已经预兆了，刹车到极限了。
779.59700,1,25,16777215,1712808991,0,11ca06af,1557913749732749824,10,这车各种暗示要出问题啊
1021.75800,1,25,16777215,1712808774,0,ad02eed5,1557911929337849856,10,如果到这里收工还是一个圆满的故事
1625.60400,1,25,16777215,1712808708,0,f7383443,1557911378147517696,10,全网分析了一圈所谓的散热，结果最后发现是刹车片没了hhhh
1069.13900,5,25,16646914,1712808637,0,12526917,1557910778420521728,10,《量你得拿捏住》
313.16900,5,25,15138834,1712808633,0,b7ed9699,1557910747172969472,10,测试防弹性能
883.22800,1,25,16776960,1712808574,0,95ee63b5,1557910252387630592,10,《真的别跑了》
1057.88400,1,25,16777215,1712808475,0,a71a73ed,1557909425615160832,10,《我懂这个刹车》
27.55000,1,25,16777215,1712808459,0,49be5c11,1557909285533783040,10,这个接线小姐姐估计也是全国第一个打通事故电话的第一人
750.67800,1,25,16777215,1712808443,0,a9fa5a06,1557909151349268736,10,现在他说每一句话我都忍不住笑哈哈哈哈哈哈
222.90900,1,25,16777215,1712808404,0,d19870eb,1557908830845748480,10,《流浪地球止于上海堡垒》
1222.57800,1,25,16777215,1712808359,0,c413f150,1557908450967601920,10,《保护别人的就是保护自己的》
302.67500,1,25,16777215,1712808297,0,a459ce76,1557907931880873984,10,堂主把从六岁干过的坏事都回忆了一遍
809.45900,1,25,16777215,1712808072,0,8de1682b,1557906041877031936,10,《我技术好》
490.27800,5,25,16646914,1712807932,0,cf3e8857,1557904868453413376,10,大战轮胎墙
1075.77400,1,25,16777215,1712807854,0,f7ff2db7,1557904216725895168,10,《没出事之前》
193.09000,1,25,16777215,1712807809,0,cd19a811,1557903833743688448,10,原来是为了提车啊（doge）
856.90600,1,25,16777215,1712807734,0,409913a8,1557903210260618240,10,《够用》
19.19100,1,25,16777215,1712807659,0,7a393f4c,1557902574135683584,10,SOS：are you ok？
94.42800,1,25,16776960,1712807507,0,95ee63b5,1557901304117203456,10,《提车了》
143.43500,1,25,16777215,1712807472,0,c413f150,1557901009551322880,10,《首首呼应》
113.81200,1,25,16777215,1712807450,0,e7ad6a6a,1557900821965247488,10,《热  门  搞  起  来》
38.05600,5,25,16707842,1712807438,0,e16b8b57,1557900726821667328,10,《远近闻名》
49.08400,1,25,16777215,1712807255,0,7f266c96,1557899186396119552,10,百万开场
130.85600,5,25,16777215,1712807217,0,624085b2,1557898871538260224,10,原来早有预兆了
78.29600,5,25,15138834,1712807209,0,ea2227fc,1557898799337511424,10,已经改口“我的车”
58.48100,4,25,16777215,1713111181,0,b47100db,1560448707537933568,10,腿没了，太惨了吧
976.83800,1,25,16777215,1713244471,0,b0b581ff,1561566822992938240,10,剧本而已，大家看的津津有味。营销合作秀秀秀
2002.00000,1,25,16777215,1712942349,0,cd425532,1559032439354087424,10,特斯拉物理连接，可能解决不了动能回收和物理刹车的脚感差异干脆做了单踏板
394.16300,1,25,16707842,1714904359,0,2aa02e23,1575490974619053056,10,给我手机唤醒了
15.10100,1,25,16777215,1714792752,0,7c6c60e0,1574554745450832384,10,自动降车窗!!!!好评！
1735.14100,5,25,16765698,1714729939,0,61cc5dff,1574027833695941376,10,《自由脖击》
1263.03000,1,25,16777215,1714720542,0,1d24295d,1573949002784156928,10,副驾安全气囊不该起来，如果副驾坐了人，没系安全带，估计人就麻烦了
114.34200,1,25,16777215,1714663563,0,fd3c3b7d,1573471025771998464,10,说漏嘴了，说车主都弄好了，说明他不是车主
1039.25100,5,18,52480,1714651548,0,79921840,1573370239742493696,10,来宁波？？？
514.67900,1,25,16777215,1714474022,0,560f33e9,1571881040363091456,10,高速充电桩比自己家里的贵不少，即便如此还是比加油便宜得多
444.75400,1,25,16777215,1714317833,0,331fbcd7,1570570836690420992,10,合理，毕竟雷总是理想的股东
1064.91500,1,25,16777215,1714317004,0,947e3f6b,1570563880705419776,10,淹死的大多是会水的
1691.48300,5,25,41194,1714267555,0,71e9442a,1570149069978871040,10,视频里最后一帧仪表盘示数46千米每小时
1260.77000,1,25,16646914,1714189182,0,37fc0c91,1569491634713008640,10,那里好笑啊！！？？
46.61700,1,25,16646914,1714187780,0,37fc0c91,1569479868524294400,10,为什么我见到这视频才知道！？
563.05700,1,25,16777215,1714101231,0,9ded2429,1568753843528061952,10,笑死了
372.10000,1,25,16777215,1714101036,0,9ded2429,1568752213780934912,10,下次一定
1071.47300,5,25,16777215,1713634977,0,5e9ee1d8,1564842621015571456,10,《拿捏住》
934.03300,1,25,16777215,1713634769,0,5e9ee1d8,1564840881679483648,10,《AMG 慢车》
1307.32600,5,25,16646914,1713591292,0,887ce118,1564476171905682432,10,撞轮胎墙上有缓冲伤害不大
1322.00700,1,25,16777215,1713205635,0,943b4e9,1561241045730217728,10,创始版，撞始版
1223.26700,1,25,16777215,1713205504,0,943b4e9,1561239946797729024,10,激烈驾驶的事后，哈哈哈。你全都知道。
20.62700,5,25,15138834,1713186454,0,4390326d,1561080141415749376,10,sos：are you ok？
130.88700,1,25,16777215,1713154488,0,c98bf4a,1560811989444646400,10,连钥匙的首摔都不放过
793.21100,1,25,16777215,1713121405,0,b18ca3c3,1560534466483463936,10,离谱
578.00000,1,25,16777215,1713121150,0,b18ca3c3,1560532333386761728,10,buff叠满
166.61200,1,25,16777215,1713120785,0,b18ca3c3,1560529273104762624,10,钥匙说明了一切
369.66300,1,25,16777215,1713104071,0,38edbebb,1560389062370778368,10,我已经憋不住笑了
543.28900,5,25,16777215,1713094189,0,569e728e,1560306164544140544,10,『霉好的逝情即将发生』
486.06400,5,25,16777215,1713094041,0,569e728e,1560304927601879296,10,『美好的事情即将发生』
2288.09900,1,25,16777215,1713093153,0,a37c428a,1560297474290329088,10,小米还是充值了呀  这营销 其他家真比不了
331.18000,1,25,16777215,1713092241,0,46a79a84,1560289827595794944,10,有！有高热度的！特斯拉剛出的时候，还有李想 MEGA ming车。
494.32400,5,25,16777215,1713082160,0,4539ad23,1560205261199831808,10,下回《小米su7之死》
0.21800,1,25,16777215,1713032630,0,cd4f6603,1559789772229274368,10,今年奥斯卡最佳影片奖提名
1447.02700,1,25,16777215,1713025810,0,5b9c55f2,1559732559129289216,10,说实话，没人在乎
157.98200,1,25,16777215,1713010317,0,3d7c569f,1559602597227651328,10,创汇社区
657.73900,1,25,16777215,1713002324,0,4b171923,1559535549189342208,10,厉害
1066.82100,1,25,16777215,1713000710,0,dc9a5254,1559522007937309696,10,讲那么多有什么用最后都是撞了
527.21700,1,25,16646914,1712999468,0,89526560,1559511589152282112,10,你说省钱是因为没考虑换电池的钱
1079.97300,1,25,16777215,1712996706,0,943b4e9,1559488420881963264,10,没出事之前，出事更值钱，哈哈哈
69.12100,1,25,16777215,1712995634,0,943b4e9,1559479429066214144,10,撞的真准，对准了轮胎堆，火箭瞄准321发射，命中靶心十环，nice啊
2358.36500,1,25,16776960,1712990654,0,1a977069,1559437654595201024,10,《高兴，加1w提su7真不错》
1844.68300,5,25,16707842,1712990014,0,ced061ff,1559432284997123328,10,雷军：黑子说话！
57.15600,1,25,41194,1712988987,0,b1fb7ea3,1559423670634811904,10,《Will on whell》严谨真诚，件衫
595.60500,1,25,16777215,1712988384,0,649e8bb6,1559418606658323712,10,注意看刹车，一个大黄壳子，实际里面的刹车夹特别小
46.66200,1,25,16777215,1712974589,0,d96fb3d,1559302888235480320,10,学新闻学的
2293.65700,1,25,16777215,1712949134,0,c3de3ee,1559089357972167168,10,001fr70多万去买吧
2296.14700,1,25,16777215,1712946016,0,160462b7,1559063200547379968,10,你是车手所以想挖掘车的极限是可以理解的
0.57900,1,25,16777215,1712945327,0,b285c267,1559057419370641408,10,南无阿弥陀佛
624.72100,1,25,16777215,1712942912,0,27db47b9,1559037165990891264,10,怎么我的车不用起步就能跑？
225.13000,1,25,16777215,1712942749,0,aeb1e90b,1559035790862995456,10,《刷爆》
528.27900,1,25,16777215,1712942731,0,27db47b9,1559035642812559360,10,然鹅长途出行流量最大的就是节假日，不抢是不现实的。
25.26100,5,25,16776960,1712934829,0,e817238a,1558969358934736640,10,自动打SOS救援电话，真的很赞！
1311.14700,5,25,16777215,1712917197,0,d7a7b300,1558821445554023680,10,《创石板》
1076.70400,5,25,16777215,1712879913,0,d7f59a7a,1558508689450065920,10,【穿越回忆】
211.15800,5,25,16777215,1712833785,0,179e3708,1558121735713221632,10,义父现在笑的更灿烂了
2361.72500,5,25,15138834,1712828688,0,38734b13,1558078980740125440,10,我想起高兴的事情
1076.20000,5,25,16707842,1712825247,0,63e7e1db,1558050115976404736,10,《它没出事之前》
590.88800,5,25,16707842,1712824671,0,63e7e1db,1558045285832309504,10,快到上墙了（物理上墙
498.84100,5,25,16776960,1712807796,0,58781dea,1557903724171877632,10,大战天马赛车墙
2254.23400,1,25,16777215,1715327192,0,21e5caf5,1579037949344081920,10,哈哈哈
2109.63000,1,25,16777215,1715322147,0,71c78f44,1578995634336676352,10,家用车宣传零百加速...
969.72700,1,25,16777215,1715321130,0,62fb19d0,1578987104497808128,10,临牌提醒你了
